ip,hostname,mac
10.0.0.1,gateway,74:ac:b9:e5:b3:9e
10.0.0.2,core,24:5a:4c:a2:c3:85
10.0.0.3,leaf,74:83:c2:6f:5b:71
10.0.0.20,switch-theatre,24:5a:4c:59:85:18
10.0.0.21,switch-family,68:d7:9a:69:c2:cb
10.0.0.22,switch-office,74:83:c2:0c:4b:80
10.0.0.23,switch-spare-1,74:ac:b9:aa:af:9a
10.0.0.24,switch-spare-2,68:d7:9a:69:c2:e7
10.0.0.25,switch-spare-3,68:d7:9a:69:c3:12
10.0.0.26,switch-spare-fe-1,74:ac:b9:ab:a6:b6
10.0.0.27,switch-spare-fe-2,74:83:c2:0c:4b:96
10.0.0.40,wap-gym,68:d7:9a:73:a8:14
10.0.0.41,wap-basement,fc:ec:da:f0:cd:9e
10.0.0.42,wap-garage,68:d7:9a:73:ac:75
10.0.0.43,wap-library,f0:9f:c2:33:41:b1
10.0.0.44,wap-master,e0:63:da:3c:37:96
10.0.0.45,wap-guest,68:d7:9a:73:ac:ab
10.0.0.50,eap-front,68:d7:9a:89:a5:3b
10.0.0.51,eap-fence,68:d7:9a:89:a5:dd
10.0.0.52,eap-deck,68:d7:9a:89:a5:e6
